id_senado,sigla_tipo_senado,numero_senado,ano_senado,id_camara,sigla_tipo_camara,numero_camara,ano_camara
138280,PL,04675,2019,2170836,PL,9949,2018
,,,,2269499,PL,285,2021
131754,PLS,00472,2017,,,,
,,,,944300,PL,34,2015
135508,PL,01254,2019,,,,
,,,,2095077,PL,6022,2016
,,,,946177,PL,257,2015
,,,,2168943,PL,9722,2018
,,,,2113148,PL,6248,2016
,,,,580896,PL,5762,2013
,,,,2139049,PL,7722,2017
,,,,2270325,PLP,18,2021
,,,,2264546,PL,4983,2020
,,,,498513,PL,1067,2011
,,,,2112846,PLP,316,2016
106017,PLS,00196,2012,561285,PL,4766,2012
,,,,2195360,PL,1739,2019
,,,,595264,PL,6506,2013
,,,,2204453,PL,3085,2019
,,,,2241734,PL,841,2020
,,,,2224201,PL,5396,2019
131717,PLS,00461,2017,,,,
,,,,2242150,PL,1089,2020
,,,,2075802,PL,4155,2015
,,,,547257,PEC,188,2012
,,,,2224490,PL,5432,2019
,,,,2028569,PL,3491,2015
,,,,558004,PL,4604,2012
,,,,565215,PL,4992,2013
,,,,2191194,PLP,11,2019
118243,PLC,00081,2014,618049,PL,7657,2014
,,,,2207458,PL,3432,2019
,,,,2181833,PL,10629,2018
143015,PL,03520,2020,,,,
113421,PLS,00258,2013,,,,
,,,,491152,PL,160,2011
,,,,536131,PL,3362,2012
,,,,2255571,PL,3399,2020
117755,PLC,00057,2014,585971,PL,6030,2013
,,,,2076815,PL,4316,2016
,,,,491942,MPV,525,2011
,,,,2193629,PL,1368,2019
,,,,2084163,PL,5251,2016
131084,PLS,00371,2017,,,,
,,,,2242164,PL,1103,2020
136204,PL,02108,2019,946563,PL,325,2015
,,,,2058465,PL,3879,2015
,,,,2207709,PL,3482,2019
,,,,2175405,PL,10247,2018
,,,,1243753,PL,1484,2015
,,,,527541,PL,2723,2011
112385,PLS,00139,2013,,,,
,,,,2268772,PL,111,2021
,,,,2233785,PL,6412,2019
,,,,503993,PEC,34,2011
131695,PEC,00039,2017,,,,
123293,PLS,00642,2015,,,,
,,,,949046,PL,462,2015
,,,,2251842,PL,2430,2020
,,,,2147841,PL,8282,2017
118167,PLN,00006,2014,,,,
,,,,2242325,PL,1232,2020
,,,,513297,PL,1889,2011
,,,,2244209,PL,1659,2020
,,,,2115138,PL,6368,2016
,,,,2025993,PL,3473,2015
,,,,2173703,PL,10150,2018
,,,,2124671,PL,7032,2017
,,,,2146951,PL,8195,2017
,,,,2077696,PL,4493,2016
,,,,606622,PL,7167,2014
121668,PLS,00348,2015,,,,
,,,,2192741,PL,1040,2019
137007,PL,03178,2019,,,,
,,,,2268693,PL,56,2021
,,,,2268860,PL,167,2021
99916,PLS,00164,2011,,,,
,,,,2190048,PLP,560,2018
,,,,547078,PL,4017,2012
,,,,2121468,PL,6728,2016
131352,PLS,00405,2017,,,,
143039,PL,03530,2020,,,,
113505,PLS,00269,2013,,,,
,,,,2165954,PLP,457,2017
112719,PLS,00180,2013,,,,
,,,,2080352,PL,4816,2016
,,,,2193497,PL,1305,2019
,,,,2129553,PL,7415,2017
,,,,591715,PLP,327,2013
,,,,2147343,PL,8250,2017
,,,,594244,PL,6471,2013
,,,,2233185,PEC,215,2019
,,,,2075698,PLP,213,2015
,,,,1514325,PL,2032,2015
140850,MPV,00923,2020,,,,
132368,PLS,00067,2018,,,,
124351,PLS,00770,2015,2170092,PL,9863,2018
,,,,540754,PL,3653,2012
,,,,557978,PL,4598,2012
146960,PL,00615,2021,,,,
,,,,2168625,PL,9670,2018
,,,,2090936,MPV,737,2016
117353,PLS,00151,2014,,,,
,,,,491878,PL,384,2011
,,,,2148781,PEC,355,2017
,,,,2129010,PL,7370,2017
,,,,2174590,PLP,507,2018
,,,,500819,PL,1263,2011
,,,,2173882,PLN,9,2018
,,,,2152544,MPV,801,2017
,,,,579526,PL,5708,2013
136486,PL,02503,2019,,,,
,,,,2220852,PL,5139,2019
135128,PL,00581,2019,,,,
,,,,570387,PL,5306,2013
,,,,619086,PL,7719,2014
,,,,544247,PL,3846,2012
,,,,1306574,PL,1866,2015
,,,,2180114,PL,10485,2018
,,,,566352,PLP,245,2013
,,,,2194400,PL,1558,2019
,,,,2092245,PL,5856,2016
,,,,513734,PL,1908,2011
,,,,2083401,PL,5168,2016
143000,PL,03511,2020,,,,
,,,,2076094,PL,4229,2015
,,,,2234232,PL,6459,2019
142320,PL,03098,2020,,,,
136200,PL,02104,2019,2138532,PL,7678,2017
,,,,2120101,PL,6628,2016
,,,,2088747,PL,5628,2016
,,,,2191327,PL,516,2019
103510,PEC,00118,2011,,,,
,,,,949282,PL,501,2015
,,,,1515716,PLP,117,2015
,,,,2233895,PL,6432,2019
,,,,2231997,PL,6293,2019
,,,,2269900,PL,367,2021
117082,PLC,00035,2014,491355,PL,235,2011
138119,PL,04487,2019,2180766,PL,10512,2018
112393,PLS,00138,2013,,,,
,,,,2191906,PL,732,2019
